GPH_status,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
International,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Informal,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Part of,395,393,388,389,391,390,396,398,399,400,402,409,407,413,408,408,407,410,424,431,430,432,428,424,422,422,425,422,425,425,429,429,429,433,438,437,437,437,435,439,438,440,442,442,444,442,444,448,447,447,446,455,479,482,485,485,493,496,496,505,506,509,504,511,513,516,517,518,513,520,529,532,542,552,551,558,566,570,569,578,608,611,607,613,620,622,635,631,636,641,647,651,651,653,653,656,647,647,648,647,644,647,623,615,614,625,628,634,642,641,646,646,649,648,646,649,651,653,653,657,657,660,661,663,662,655,645,644,648,637,626,638,669,718,732,736,732,734,735,736,730,733,722,719,713,715,702,705,704,703,707,681,681,684,689,688,690,692,689,686,682,683,683,680,687,686,688,689,689,689,688,688,687,687,692,668,659,655,655,657,657,655,653,654,655,653,651,650,650,650,649,647,647,647,642,641,642,645,642,642,642,642,642,642,642
Discovered,90,90,91,90,91,91,92,93,93,94,94,93,93,92,91,91,90,90,90,90,89,89,88,85,84,85,84,81,80,79,78,78,77,76,75,74,74,74,74,74,65,60,60,59,58,58,59,59,59,59,59,59,58,57,57,56,56,56,56,56,57,56,53,51,51,51,49,48,48,42,42,41,34,32,32,30,28,24,24,21,21,18,17,16,14,13,12,12,12,12,11,10,9,9,9,9,9,9,9,9,9,9,9,8,8,7,7,6,6,5,5,4,4,4,4,4,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown,84,84,82,79,79,77,75,75,73,73,73,73,73,73,74,74,75,73,73,72,72,71,70,70,70,69,69,68,68,68,67,67,67,67,68,68,68,67,67,67,68,67,66,66,64,63,64,65,67,66,66,66,64,62,62,61,61,60,59,57,57,56,55,51,51,49,48,48,48,45,41,40,38,37,34,30,28,26,25,22,17,17,17,15,13,10,10,8,5,5,3,3,3,3,2,2,2,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,2,2,1,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Claimed by,10,10,9,9,10,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,11,12,10,10,10,11,11,11,11,11,11,11,11,11,11,11,20,23,23,24,24,24,24,23,23,23,23,23,24,25,25,25,25,25,24,24,23,23,23,24,24,24,24,24,24,24,24,24,24,24,24,24,22,22,22,22,22,22,22,22,22,22,22,21,20,20,20,20,21,20,20,20,20,20,20,20,20,20,21,21,23,22,21,19,19,19,18,19,18,17,17,17,17,17,16,14,14,14,15,15,16,16,17,17,18,18,17,17,18,19,19,19,19,19,18,17,16,15,15,15,15,14,14,13,14,14,14,14,14,14,14,14,14,14,15,14,14,14,14,14,9,9,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,7,7,7,7,7,7,7,7,7,7,8,5,5,5,5,5,5,5,5
Neutral or demilitarized zone of,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,5,5,5,5,4,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,8,8,9,8,8,8,8,8,9,9,9,9,9,9,9,8,9,8,8,7,7,8,8,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Occupied by,9,8,8,9,9,9,10,9,8,8,8,9,11,11,12,11,13,13,14,12,12,12,13,16,15,12,11,9,8,8,8,7,9,8,8,8,6,8,9,8,9,9,8,8,8,11,11,10,11,13,14,14,13,13,13,16,17,18,19,16,16,13,17,16,16,17,17,18,18,18,16,17,16,16,19,21,22,23,26,22,15,16,17,18,19,19,16,16,17,15,15,12,12,10,11,10,14,14,13,19,24,29,39,42,42,29,23,17,8,8,7,7,7,7,7,5,6,6,5,5,6,8,11,13,16,32,49,64,54,47,41,38,29,27,21,16,15,13,15,13,14,12,12,12,12,12,13,12,12,12,12,17,17,12,12,12,11,11,12,11,11,10,10,10,9,9,10,9,9,9,9,9,8,8,8,8,7,7,7,7,7,7,7,7,7,6,6,7,7,7,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5
Leased to,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,3,4,5,5,5,5,5,4,3,3,7,7,7,7,7,9,9,8,8,8,8,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,6,6,13,14,15,15,14,13,11,10,10,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Mandated to,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,13,17,21,25,25,25,25,25,25,25,25,24,24,24,24,23,21,21,21,20,19,19,18,18,18,14,14,14,14,13,14,14,14,14,13,12,11,11,11,9,6,4,4,4,4,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
